Hi O
Apa O
kabar O
? O
Halo O
Hello O
Selamat O 
Pagi TIME
Selamat O 
Siang TIME
Selamat O
Sore TIME
Selamat O 
Malam TIME
Bye O
Selamat O 
Tinggal O
Goodbye O
Buka O
Buka O
jam TIME
berapa O
? O
Jam TIME 
buka O
? O
payment O
pembayaran O
Apakah O
menerima O 
kartu PAYMENT
kredit PAYMENT
? O
visa PAYMENT
mastercard PAYMENT
debit PAYMENT
Siapa O
dokter PERSON
yang O
bertugas O 
hari O
ini O
? O
Siapa O 
dokter PERSON
yang O
melayani O 
periksa O
? O
Apakah O
menerima O 
kartu INSURANCE
bpjs INSURANCE
? O
Apakah O 
bisa O
memakai O 
bpjs INSURANCE
? O
lippo INSURANCE 
insurance INSURANCE
asuransi INSURANCE
simasnet INSURANCE
allianz INSURANCE
smarthealth INSURANCE
AXA INSURANCE
Keluhan O
saya O
, O
merasa O 
pusing SYMPTOMS
dan O
meriang SYMPTOMS
Saya O
merasa O 
pusing SYMPTOMS
dan O
lemas SYMPTOMS
Saya O
merasakan O 
sakit SYMPTOMS
di SYMPTOMS
pinggang SYMPTOMS
dan O
perut SYMPTOMS
Saya O
sakit SYMPTOMS
di SYMPTOMS
kepala SYMPTOMS
Saya O
sudah O
sakit O
sejak O
kemarin TIME
Saya O
sakit O
sejak O
tadi O
pagi TIME
Saya O
sudah O
meminum O 
obat MEDICINE
pusing MEDICINE
Saya O
belum O
meminum O 
obat O
apapun O
Saya O
ingin O
membatalkan O 
janji O
dengan O
dokter PERSON
Saya O
ingin O
membatalkan O 
periksa O
dokter PERSON
Saya O
ingin O
membuat O 
janji O
dengan O
dokter PERSON
. O
Saya O 
ingin O
periksa O 
dokter PERSON
Saya O
ingin O
membuat O 
janji O
dengan O
dokter PERSON
hari TIME
ini TIME
. O
Saya O 
ingin O
periksa O 
dokter PERSON
hari TIME
ini TIME
Saya O
ingin O
periksa O 
dokter PERSON
besok O
Saya O
ingin O
periksa O 
besok TIME
hari TIME
Saya O
ingin O
periksa O 
dokter PERSON
nanti O
sore TIME
Saya O
ingin O
periksa O 
dokter PERSON
nanti O
siang TIME
Saya O
ingin O
periksa O 
dokter PERSON
nanti O
pagi TIME
Saya O
ingin O
periksa O 
dokter PERSON
nanti O
malam TIME
Saya O
ingin O
membuat O 
janji O
dengan O
dokter PERSON
untuk O
anak O
saya PERSON
Saya PERSON
ingin O
membuat O 
janji O
dengan O
dokter PERSON
untuk O
bapak PERSON
saya PERSON
Saya PERSON
ingin O
membuat O 
janji O
dengan O
dokter PERSON
untuk O
istri PERSON
saya PERSON
Saya PERSON
ingin O
membuat O 
janji O
dengan O
dokter PERSON
untuk O
suami PERSON
saya PERSON
Saya PERSON
ingin O
membuat O 
janji O
dengan O
dokter PERSON
untuk O
ibu PERSON
saya PERSON
Saya PERSON
ingin O
membuat O 
janji O
dengan O
dokter PERSON
Bambang PERSON
. O
Saya PERSON 
ingin O
membuat O 
janji O
dengan O
dr. PERSON
Bambang PERSON
